,Open,High,Low,Close,Volume,log_return,upper_bb,middle_bb,lower_bb,slowk,slowd,macd,macdsignal,macdhist,rsi,sma,ema,atr,macd_hist,obv,cci,hash-rate,avg-block-size,difficulty,miners-revenue,mempool-size,lstm_feature,target
2018-03-05,0.12899517097904095,0.12865478970767166,0.13059816103003066,0.12959007430975636,0.010185112006295008,0.7383367861952777,0.12560064491438236,0.11930570187650724,0.11430884483609048,0.8345945159198739,0.7659669988270251,0.5156774162705995,0.5031001836265374,0.6333255859709126,0.6087680802855625,0.10559218338411923,0.12141308951701196,0.14048275053327966,0.6333255859709126,0.0265174959657207,0.6618029052987231,0.018965667601221467,0.5127024160277627,0.01835666724010833,0.22923165617857255,0.193162866554093,0.24968624,0
2018-03-06,0.12849293114631793,0.1255409631871431,0.11873565775572076,0.11725681463220353,0.01122989311552426,0.6185096858599399,0.12482475605249016,0.12038350453582819,0.1175064022092603,0.7601094286727516,0.7886344912559744,0.5129201617264629,0.5070500606086104,0.6120410924779709,0.5159446063275063,0.10700089091616373,0.12155025786690843,0.1421932820517465,0.6120410924779709,0.023874604872112255,0.5792401166134228,0.022807274911685313,0.5180950687472832,0.020016896560252462,0.2290131272382332,0.04723147027722174,0.25173753,0
2018-03-07,0.11766783758401077,0.11683141320540236,0.10287606526414439,0.10459819132249895,0.016877852852764108,0.6066806793323555,0.1250099044168306,0.12021509236814906,0.11693223423470787,0.5617730229831441,0.7167612796990311,0.5042006660781724,0.5081991106945701,0.5785932273030518,0.437381151917291,0.10869518496723547,0.12077675188037448,0.14896805222749446,0.5785932273030518,0.020471305762443184,0.4522464013989028,0.023356075956037337,0.5181936643908631,0.020016896560252462,0.21840629168163694,0.14878977001267993,0.25369275,0
2018-03-08,0.10441307000205684,0.10489355778693712,0.09723837384453646,0.09572892413922168,0.012246775245238107,0.6374553359774154,0.12617768726261733,0.11951161513047148,0.11407392612333302,0.2809927982948777,0.5252822106201637,0.4927922766104931,0.5064873984702745,0.5444296050585976,0.38980812176682245,0.10961879816627192,0.1194212857872263,0.14909607908584757,0.5444296050585976,0.017691507651292664,0.3816826746095872,0.02610008117779712,0.5156513818808965,0.020016896560252462,0.20873858092964304,0.14878977001267993,0.25552976,0
2018-03-09,0.09606722758643234,0.09449809707868737,0.08421685208503926,0.09483571876656383,0.016608578051584215,0.7204380742733734,0.12638088372246778,0.11802300880201344,0.11067036768101611,0.16539222281732027,0.3195821679416084,0.4833706858427057,0.502945263121689,0.52257043698246,0.38512988195532116,0.11058475899481245,0.11808963544412049,0.15126691104378656,0.52257043698246,0.014324462114040239,0.3445681099836359,0.017319264468165396,0.526004613161213,0.020016896560252462,0.1614256366387311,0.1065377419643509,0.25667262,0
2018-03-10,0.09507053752777643,0.09548980050245212,0.08920871257146346,0.08750555682160915,0.007075679900284754,0.6486678959492801,0.1279363255383769,0.11660933012384372,0.10584922082486987,0.12023458486714093,0.16686340569553532,0.47241441409236634,0.49758486793695655,0.5008565245886548,0.34721951350145935,0.11092268918679811,0.11632168313656344,0.14965793769493357,0.5008565245886548,0.012240869807295461,0.36792117256542306,0.014026458202053574,0.5101459937356578,0.020016896560252462,0.15724765368427945,0.13891940372759362,0.25718313,1
2018-03-11,0.08733017380757548,0.09824598475263066,0.08570583315109292,0.09858326779911972,0.0096904343399272,0.8515283552046791,0.1267875358872975,0.11522846499853928,0.10425152523962176,0.22550651214203127,0.14767187850018876,0.4695278714003007,0.4926308700874518,0.5057097782099358,0.4303695896495997,0.11139639661016214,0.11545698978674981,0.1539804012236434,0.5057097782099358,0.014676497243261234,0.40204444866098593,0.02116087177862923,0.5101505607732348,0.020016896560252462,0.17936981561618281,0.0717101437343762,0.25709096,0
2018-03-12,0.09899413058063307,0.10168966855655756,0.09123369158572509,0.09277712167661686,0.01015310430809853,0.667590894097992,0.12525898003837316,0.11338477883245263,0.10211218746204385,0.21136617359414644,0.16357329104347035,0.46460671973529244,0.48753277758862035,0.5039889798236468,0.3984986693490735,0.11172465147413387,0.11423444204456817,0.15620396096598013,0.5039889798236468,0.012178578649256873,0.4239139721048022,0.025551280133445098,0.4521739192694911,0.020016896560252462,0.19422876116107346,0.020840277749143727,0.25663695,0
2018-03-13,0.0923098431806003,0.09455961459003379,0.09126155550466575,0.09261746837006438,0.00881344724079476,0.7283218551615153,0.12498344801389127,0.11213063925686695,0.09976568001615678,0.2464794846325205,0.2072387189376167,0.460953442962446,0.48261180106718377,0.506104123512265,0.3976107856710638,0.1123239999270033,0.11307939434045666,0.15148312210641565,0.506104123512265,0.009861023588305574,0.42608076362805974,0.023904877000389027,0.40441071583806404,0.020016896560252462,0.18794584354156005,0.01822380560893086,0.25644788,0
2018-03-14,0.09295683607673326,0.09281144104673439,0.07718353840931694,0.07823787744564667,0.010098025705829286,0.5635028511340013,0.12679858032666755,0.11067554256852202,0.09455357930828605,0.15155769119158202,0.1816613933183644,0.4512689641523048,0.4764416282039261,0.49118604668423305,0.3238264876026472,0.11195435380861941,0.11097443602192852,0.15831618640090112,0.49118604668423305,0.007370520452737077,0.39275153788053013,0.016221662379461682,0.27466346712168727,0.020016896560252462,0.1584199982215743,0.01822380560893086,0.25592953,1
